SampleNumber,Site,CollectDate,Test,Param,NumericResult,Results_Units,OrderDetails_User1,OrderDetails_User2,OrderDetails_User3,OrderDetails_User4,Instrument,RepLimit,Results_Method,AnalysisEmployee,AnalysisDate
2019011502-01,373 LA CB 1m,1/15/2019,Alk,Alk,,µEq/L,,,,,Mantech PC-Titration Plus System,,UA-Alk,BASL - UAlberta,6/7/2022 12:00:00 AM
2019011502-01,373 LA CB 1m,1/15/2019,Anions,Cl,0.18,mg/L,,,,,Dionex DX-600 Ion Chromatograph,,UA-ClSO4,BASL - UAlberta,
2019011502-01,373 LA CB 1m,1/15/2019,Anions,SO4,1.57,mg/L,,,,,Dionex DX-600 Ion Chromatograph,,UA-ClSO4,BASL - UAlberta,
2019011502-01,373 LA CB 1m,1/15/2019,Archive,Archive,0,,,,,,,,ELA-Archive,,
2019011502-01,373 LA CB 1m,1/15/2019,Cations,Ca,,mg/L,,,,,Thermo ICAP-6300 ICP-OES,0.0053,UA-ICP,BASL - UAlberta,
2019011502-01,373 LA CB 1m,1/15/2019,Cations,Fe,0,mg/L,,,,,Thermo ICAP-6300 ICP-OES,0.02,UA-ICP,BASL - UAlberta,
2019011502-01,373 LA CB 1m,1/15/2019,Cations,K,0.38,mg/L,,,,,Thermo ICAP-6300 ICP-OES,,UA-ICP,BASL - UAlberta,
2019011502-01,373 LA CB 1m,1/15/2019,Cations,Mg,0.64,mg/L,,,,,Thermo ICAP-6300 ICP-OES,0.0103,UA-ICP,BASL - UAlberta,
2019011502-01,373 LA CB 1m,1/15/2019,Cations,Mn,,mg/L,,,,,Thermo ICAP-6300 ICP-OES,0.0145,UA-ICP,BASL - UAlberta,
2019011502-01,373 LA CB 1m,1/15/2019,Cations,Na,0.69,mg/L,,,,,Thermo ICAP-6300 ICP-OES,,UA-ICP,BASL - UAlberta,
2019011502-01,373 LA CB 1m,1/15/2019,Chla,Chla,1.25,µg/L,,,,,Turner Designs Trilogy Fluorometer,0.5,ELA-Chla,dlangenfeld,6/3/2019 12:00:00 AM
2019011502-01,373 LA CB 1m,1/15/2019,DIC,DIC,150,µM,,,,,LI-820 LiCor gas analyzer,,ELA-DIC,sstrapazzon,3/29/2019 12:00:00 AM
2019011502-01,373 LA CB 1m,1/15/2019,DOC,DOC,411,µmol/L,,,,,Shimadzu TOC-VCPH/CPN,43,FWI-DOC,mbouch,12/20/2019 12:00:00 AM
2019011502-01,373 LA CB 1m,1/15/2019,NH3,NH3-N,46,µg/L,,,,,Autoanalyzer II,21,ELA-TDN/NH3,shavens,4/11/2019 12:00:00 AM
2019011502-01,373 LA CB 1m,1/15/2019,NO2,NO2-N,0,µg/L,,,,,Autoanalyzer II,2.45,ELA-NO2/NO3,shavens,4/11/2019 12:00:00 AM
2019011502-01,373 LA CB 1m,1/15/2019,NO3,NO3-N,5,µg/L,,,,,Autoanalyzer II,0.82,ELA-NO2/NO3,shavens,4/11/2019 12:00:00 AM
2019011502-01,373 LA CB 1m,1/15/2019,Part C/N,Part C,286,µg/L,,,,,Exeter CE 440 Elemental Analyzer,10,UA-C/N,BASL - UAlberta,
2019011502-01,373 LA CB 1m,1/15/2019,Part C/N,Part N,35,µg/L,,,,,Exeter CE 440 Elemental Analyzer,15,UA-C/N,BASL - UAlberta,
2019011502-01,373 LA CB 1m,1/15/2019,Part P,Part P,4,µg/L,,,,,Cole-Parmer 2100 Spectrophotometer,0.2,ELA-PartP,mbouch,12/20/2019 12:00:00 AM
2019011502-01,373 LA CB 1m,1/15/2019,pH,pH,6.756,SU,,,,,Fisher Scientific Accumet pH meter,,ELA-pH,,1/15/2019 12:00:00 AM
2019011502-01,373 LA CB 1m,1/15/2019,Phytoplankton taxonomy,Total Biomass,,mg/m^3,,,,,Zeiss invertoscope inverted microscope,,ELA-Phytoplankton taxonomy,,
2019011502-01,373 LA CB 1m,1/15/2019,SRSi,SRSi,0.763,mg/L,,,,,Shimadzu 1601 scanning spectrophotometer,0.003,ELA-SRSi,bcooney,5/2/2019 12:00:00 AM
2019011502-01,373 LA CB 1m,1/15/2019,TDN,TDN,242,µg/L,,,,,Autoanalyzer II,28,ELA-TDN/NH3,shavens,4/11/2019 12:00:00 AM
2019011502-01,373 LA CB 1m,1/15/2019,TDP,TDP,3.39,µg/L,,,,,Shimadzu 1601 scanning spectrophotometer,0.5,ELA-TDP,sstrapazzon,3/29/2019 12:00:00 AM
2019011502-02,373 LA CB 5m,1/15/2019,Alk,Alk,,µEq/L,,,,,Mantech PC-Titration Plus System,,UA-Alk,BASL - UAlberta,6/7/2022 12:00:00 AM
2019011502-02,373 LA CB 5m,1/15/2019,Anions,Cl,0.21,mg/L,,,,,Dionex DX-600 Ion Chromatograph,,UA-ClSO4,BASL - UAlberta,
2019011502-02,373 LA CB 5m,1/15/2019,Anions,SO4,1.38,mg/L,,,,,Dionex DX-600 Ion Chromatograph,,UA-ClSO4,BASL - UAlberta,
2019011502-02,373 LA CB 5m,1/15/2019,Archive,Archive,0,,,,,,,,ELA-Archive,,
2019011502-02,373 LA CB 5m,1/15/2019,Cations,Ca,,mg/L,,,,,Thermo ICAP-6300 ICP-OES,0.0053,UA-ICP,BASL - UAlberta,
